,year,casualties,side_a,side_b,conflict,description,url
0,1989,18403,Government of Ethiopia,Ethiopian People's Revolutionary Democratic Front,Ethiopian Civil War,description,https://en.wikipedia.org/wiki/Ethiopian_Civil_War
1,1990,30633,Government of Ethiopia,Eritrean People's Liberation Front,Eritrean–Ethiopian War,"The Eritrean–Ethiopian War took place from May 1998 to June 2000 between Ethiopia and Eritrea, forming one of the conflicts in the Horn of Africa. While Eritrea and Ethiopia—two of the world's poorest countries—spent hundreds of millions of dollars on the war and suffered tens of thousands of casualties as a direct consequence of the conflict, only minor border changes resulted",https://en.wikipedia.org/wiki/Eritrean%E2%80%93Ethiopian_War
2,1991,6907,Government of Ethiopia,Eritrean People's Liberation Front,Eritrean–Ethiopian War,"The Eritrean–Ethiopian War took place from May 1998 to June 2000 between Ethiopia and Eritrea, forming one of the conflicts in the Horn of Africa. While Eritrea and Ethiopia—two of the world's poorest countries—spent hundreds of millions of dollars on the war and suffered tens of thousands of casualties as a direct consequence of the conflict, only minor border changes resulted",https://en.wikipedia.org/wiki/Eritrean%E2%80%93Ethiopian_War
3,1991,8005,Government of Somalia,SPM,Somali Civil War,"The Somali Civil War (Somali: Dagaalkii Sokeeye ee Soomaaliya, Arabic: _____ _______ __________) is an ongoing civil war taking place in Somalia. It grew out of resistance to the military junta led by Siad Barre during the 1980s.",https://en.wikipedia.org/wiki/Somali_Civil_War
4,1992,2321,Government of Angola,National Union for the Total Independence of Angola,Angolan Civil War,"The Angolan Civil War was a major civil conflict in Angola, beginning in 1975 and continuing, with some interludes, until 2002. The war began immediately after Angola became independent from Portugal in November 1975.",https://en.wikipedia.org/wiki/Angolan_Civil_War
5,1992,2500,Republic of Somaliland,SNM - 'Calan cas' ,Somali Civil War,Independance of Somaliland,https://en.wikipedia.org/wiki/Somali_National_Movement
6,1993,12054,Government of Angola,National Union for the Total Independence of Angola,Angolan Civil War,"The Angolan Civil War was a major civil conflict in Angola, beginning in 1975 and continuing, with some interludes, until 2002. The war began immediately after Angola became independent from Portugal in November 1975.",https://en.wikipedia.org/wiki/Angolan_Civil_War
7,1993,3051,Banyarwanda,Hunde,"Banyarwanda - Hunde, Nyanga","The Hunde have been in conflict with the Banyarwanda of Rwanda at times since its independence, in particular with the Hutu. They allied with the Tutsi during the conflicts of the 1990s.",https://en.wikipedia.org/wiki/Hunde_people
8,1994,3924,Government of Angola,National Union for the Total Independence of Angola,Angolan Civil War,"The Angolan Civil War was a major civil conflict in Angola, beginning in 1975 and continuing, with some interludes, until 2002. The war began immediately after Angola became independent from Portugal in November 1975.",https://en.wikipedia.org/wiki/Angolan_Civil_War
9,1994,500000,Government of Rwanda,Civilians,Rwanda Civil War,Rwandan genocide in the context of the Rwandan War. Tutsu minority butchered by the ruling Hutus.,https://en.wikipedia.org/wiki/Rwandan_genocide
10,1995,3008,Government of Algeria,Armed Islamic Group,"Algeria, Armed Islamic Group",Conflict opposing the Government of Algeria to the Armed Islamic Group. A rebel group using terror (bombing and plane hijacking).,https://en.wikipedia.org/wiki/Armed_Islamic_Group_of_Algeria
11,1995,4141,Government of Rwanda,Civilians,Kibeho massacre,Massacre of some Hutus who had fled the after the genocide. An unknown number of the victims had carried out the genocide.,https://en.wikipedia.org/wiki/Kibeho_massacre
12,1996,30110,Alliance of Democratic Forces for the Liberation of Congo-Zaire,Civilians,First Congo War,Foreign invasion of Zaire led by Rwanda that replaced President Mobutu Sésé Seko with the rebel leader Laurent-Désiré Kabila.,https://en.wikipedia.org/wiki/First_Congo_War
