,year,casualties,side_a,side_b,conflict,description,url
0,1989,5174,Government of Afghanistan,Islamic Party of Afghanistan - Khalis faction,Afghan Civil War (1989–92),"Afghanistan experienced a civil war between the Soviet withdrawal from Afghanistan and the Peshawar Accord of 24 April 1992, which installed a new interim Afghan government. This period forms a part of the conflict in Afghanistan since 1978.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1989%E2%80%9392)
1,1990,1878,Hindus (India),Muslims (India),1990 Hyderabad riots,"1990 Hyderabad riots were riots that occurred in Hyderabad of Telangana, the then Andhra Pradesh state of India in 1990.",https://en.wikipedia.org/wiki/1990_Hyderabad_riots
2,1990,3569,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
3,1991,6432,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
4,1992,4287,Government of Afghanistan,Islamic Party of Afghanistan - Khalis faction,Afghan Civil War (1989–92),"Afghanistan experienced a civil war between the Soviet withdrawal from Afghanistan and the Peshawar Accord of 24 April 1992, which installed a new interim Afghan government. This period forms a part of the conflict in Afghanistan since 1978.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1989%E2%80%9392)
5,1992,4091,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
6,1993,3721,Government of Afghanistan,Islamic Party of Afghanistan,Afghan Civil War (1992–96),"The post-communist Islamic State of Afghanistan was established by the Peshawar Accord, a peace and power-sharing agreement under which all the Afghan parties were united in April 1992, except for the Hezb-e Islami of Gulbuddin Hekmatyar.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1992%E2%80%9396)
7,1994,8937,Government of Afghanistan,National Islamic Movement,Afghan Civil War (1992–96),"The post-communist Islamic State of Afghanistan was established by the Peshawar Accord, a peace and power-sharing agreement under which all the Afghan parties were united in April 1992, except for the Hezb-e Islami of Gulbuddin Hekmatyar.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1992%E2%80%9396)
8,1995,5516,Government of Afghanistan,Taleban,Afghan Civil War (1992–96),"The post-communist Islamic State of Afghanistan was established by the Peshawar Accord, a peace and power-sharing agreement under which all the Afghan parties were united in April 1992, except for the Hezb-e Islami of Gulbuddin Hekmatyar.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1992%E2%80%9396)
9,1995,4755,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
