,year,casualties,side_a,side_b,conflict,description,url
0,1991,2958,Government of Yugoslavia,Croatian irregulars,Breakup of Yugoslavia,"The breakup of Yugoslavia occurred as a result of a series of political upheavals and conflicts during the early 1990s. After a period of political crisis in the 1980s, constituent republics of the Socialist Federal Republic of Yugoslavia split apart, but the unsolved issues caused bitter inter-ethnic Yugoslav wars. The wars primarily affected Bosnia and Herzegovina and neighboring parts of Croatia.",https://en.wikipedia.org/wiki/Breakup_of_Yugoslavia
1,1992,4018,Government of Bosnia-Herzegovina,Serbian irregulars,Bosnian War,"The Bosnian War was an international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995. Following a number of violent incidents in early 1992, the war is commonly viewed as having started on 6 April 1992. The war ended on 14 December 1995.",https://en.wikipedia.org/wiki/Bosnian_War
2,1993,2835,Government of Bosnia-Herzegovina,Serbian irregulars,Bosnian War,"The Bosnian War was an international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995. Following a number of violent incidents in early 1992, the war is commonly viewed as having started on 6 April 1992. The war ended on 14 December 1995.",https://en.wikipedia.org/wiki/Bosnian_War
3,1994,1779,Government of Bosnia-Herzegovina,Serbian irregulars,Bosnian War,"The Bosnian War was an international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995. Following a number of violent incidents in early 1992, the war is commonly viewed as having started on 6 April 1992. The war ended on 14 December 1995.",https://en.wikipedia.org/wiki/Bosnian_War
4,1995,8360,Government of Bosnia-Herzegovina,Serbian irregulars,Bosnian War,"The Bosnian War was an international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995. Following a number of violent incidents in early 1992, the war is commonly viewed as having started on 6 April 1992. The war ended on 14 December 1995.",https://en.wikipedia.org/wiki/Bosnian_War
5,1996,2721,Government of Soviet Union,Chechen Republic of Ichkeria,Chechen–Russian conflict,"The Chechen–Russian conflict is the centuries-long conflict, often armed, between the Russian (formerly Soviet) government and various Chechen nationalist and Islamist forces. Formal hostilities date back to 1785, though elements of the conflict can be traced back considerably further.",https://en.wikipedia.org/wiki/Chechen%E2%80%93Russian_conflict
6,1998,1235,Government of Yugoslavia,Kosovo Liberation Army,Kosovo War,"The Kosovo War was an armed conflict in Kosovo that started in late February 1998 and lasted until 11 June 1999. It was fought by the forces of the Federal Republic of Yugoslavia (by this time, consisting of the Republics of Montenegro and Serbia), which controlled Kosovo before the war, and the Kosovo Albanian rebel group known as the Kosovo Liberation Army (KLA).",https://en.wikipedia.org/wiki/Kosovo_War
7,1999,5769,Government of Soviet Union,Chechen Republic of Ichkeria,Chechen–Russian conflict,"The Chechen–Russian conflict is the centuries-long conflict, often armed, between the Russian (formerly Soviet) government and various Chechen nationalist and Islamist forces. Formal hostilities date back to 1785, though elements of the conflict can be traced back considerably further.",https://en.wikipedia.org/wiki/Chechen%E2%80%93Russian_conflict
8,2000,2907,Government of Soviet Union,Chechen Republic of Ichkeria,Chechen–Russian conflict,"The Chechen–Russian conflict is the centuries-long conflict, often armed, between the Russian (formerly Soviet) government and various Chechen nationalist and Islamist forces. Formal hostilities date back to 1785, though elements of the conflict can be traced back considerably further.",https://en.wikipedia.org/wiki/Chechen%E2%80%93Russian_conflict
9,2002,1283,Government of Soviet Union,Chechen Republic of Ichkeria,Chechen–Russian conflict,"The Chechen–Russian conflict is the centuries-long conflict, often armed, between the Russian (formerly Soviet) government and various Chechen nationalist and Islamist forces. Formal hostilities date back to 1785, though elements of the conflict can be traced back considerably further.",https://en.wikipedia.org/wiki/Chechen%E2%80%93Russian_conflict
10,2004,1151,Government of Soviet Union,Chechen Republic of Ichkeria,Chechen–Russian conflict,"The Chechen–Russian conflict is the centuries-long conflict, often armed, between the Russian (formerly Soviet) government and various Chechen nationalist and Islamist forces. Formal hostilities date back to 1785, though elements of the conflict can be traced back considerably further.",https://en.wikipedia.org/wiki/Chechen%E2%80%93Russian_conflict
11,2014,1996,Government of Ukraine,Donetsk People's Republic,War in Donbass,"The War in Donbass is an armed conflict in the Donbass region of Ukraine. From the beginning of March 2014, protests by pro-Russian and anti-government groups took place in the Donetsk and Luhansk oblasts of Ukraine, together commonly called the ""Donbass"", in the aftermath of the 2014 Ukrainian revolution and the Euromaidan movement. ",https://en.wikipedia.org/wiki/War_in_Donbass
12,2015,1304,Government of Ukraine,United Armed Forces of Novorossiya,War in Donbass,"The War in Donbass is an armed conflict in the Donbass region of Ukraine. From the beginning of March 2014, protests by pro-Russian and anti-government groups took place in the Donetsk and Luhansk oblasts of Ukraine, together commonly called the ""Donbass"", in the aftermath of the 2014 Ukrainian revolution and the Euromaidan movement. ",https://en.wikipedia.org/wiki/War_in_Donbass
