,MiddleEast,Africa,Europe,Asia,Americas,AfricaWR,year
0,1513,40786,669,14419,9453,40786,1989
1,3735,72593,462,14645,3617,72593,1990
2,24783,33878,3804,17778,3039,33878,1991
3,2821,18866,11864,19648,3324,18866,1992
4,3299,30859,9460,10672,1475,30859,1993
5,6735,520651,5171,13446,2264,18690,1994
6,4769,19611,12763,14692,1476,19611,1995
7,4445,49136,2777,13775,1624,49136,1996
8,4688,42113,94,13406,1135,42113,1997
9,2126,35034,1563,19698,1739,35034,1998
10,1557,74141,8400,12419,2298,74141,1999
11,509,67742,4370,16404,2170,67742,2000
12,579,16486,1084,11188,5589,16486,2001
13,1023,21690,1511,10667,3571,21690,2002
14,8584,18567,543,7684,1352,18567,2003
15,5191,15133,1544,7666,2383,15133,2004
16,4219,5390,752,7187,2071,5390,2005
17,6307,7710,267,11922,1329,7710,2006
18,5561,6038,196,14428,1051,6038,2007
19,4074,8375,1063,21602,2294,8375,2008
20,2802,12721,709,27769,2777,12721,2009
21,2417,7051,504,16937,3846,7051,2010
22,3413,11497,419,13375,3034,11497,2011
23,4638,10805,554,13730,1955,10805,2012
24,4806,15190,377,13011,923,15190,2013
25,19030,23815,4614,17724,1829,23815,2014
26,19644,20874,1602,22436,1839,20874,2015
27,16060,14689,602,21235,1368,14689,2016
