country,events_count_1989,events_count_1990,events_count_1991,events_count_1992,events_count_1993,events_count_1994,events_count_1995,events_count_1996,events_count_1997,events_count_1998,events_count_1999,events_count_2000,events_count_2001,events_count_2002,events_count_2003,events_count_2004,events_count_2005,events_count_2006,events_count_2007,events_count_2008,events_count_2009,events_count_2010,events_count_2011,events_count_2012,events_count_2013,events_count_2014,events_count_2015,events_count_2016,events_count_sum,deaths_total_1989,deaths_total_1990,deaths_total_1991,deaths_total_1992,deaths_total_1993,deaths_total_1994,deaths_total_1995,deaths_total_1996,deaths_total_1997,deaths_total_1998,deaths_total_1999,deaths_total_2000,deaths_total_2001,deaths_total_2002,deaths_total_2003,deaths_total_2004,deaths_total_2005,deaths_total_2006,deaths_total_2007,deaths_total_2008,deaths_total_2009,deaths_total_2010,deaths_total_2011,deaths_total_2012,deaths_total_2013,deaths_total_2014,deaths_total_2015,deaths_total_2016,deaths_total_sum,gdp_1989,gdp_1990,gdp_1991,gdp_1992,gdp_1993,gdp_1994,gdp_1995,gdp_1996,gdp_1997,gdp_1998,gdp_1999,gdp_2000,gdp_2001,gdp_2002,gdp_2003,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,deaths_civilians_1989,deaths_civilians_1990,deaths_civilians_1991,deaths_civilians_1992,deaths_civilians_1993,deaths_civilians_1994,deaths_civilians_1995,deaths_civilians_1996,deaths_civilians_1997,deaths_civilians_1998,deaths_civilians_1999,deaths_civilians_2000,deaths_civilians_2001,deaths_civilians_2002,deaths_civilians_2003,deaths_civilians_2004,deaths_civilians_2005,deaths_civilians_2006,deaths_civilians_2007,deaths_civilians_2008,deaths_civilians_2009,deaths_civilians_2010,deaths_civilians_2011,deaths_civilians_2012,deaths_civilians_2013,deaths_civilians_2014,deaths_civilians_2015,deaths_civilians_2016,deaths_civilians_sum
Afghanistan,145.0,45.0,64.0,76.0,115.0,244.0,219.0,234.0,199.0,216.0,189.0,207.0,263.0,94.0,186.0,241.0,430.0,848.0,1042.0,1114.0,1514.0,1806.0,2198.0,2305.0,1926.0,2120.0,2263.0,2423.0,22726.0,5411.0,1514.0,3553.0,4385.0,4105.0,9056.0,5618.0,3595.0,6721.0,12166.0,5065.0,5394.0,5553.0,1157.0,944.0,817.0,1711.0,4982.0,7020.0,5660.0,6499.0,7151.0,7565.0,7822.0,8131.0,12550.0,17986.0,18707.0,180838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461665937.8938603,4128820723.0471296,4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20046334303.9661,20050189881.6659,19702986340.5494,19469022207.6357,303.0,101.0,49.0,1695.0,637.0,120.0,185.0,483.0,353.0,6341.0,583.0,639.0,867.0,171.0,67.0,77.0,200.0,477.0,669.0,763.0,1099.0,1178.0,1024.0,908.0,930.0,876.0,899.0,1076.0,22770.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2335124987.5,2101624962.5,1139166645.8333302,709452583.880319,1228071037.84446,1985673798.10258,2424499009.1426396,3314898291.75235,2359903108.38446,2707123772.16195,3414760915.27878,3632043907.9773297,4060758804.12084,4435078647.74817,5746945912.58082,7314865175.6199,8158548716.68554,8992642348.7871,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12781029643.5936,13219857459.1009,11390365293.8057,11926892452.8499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Algeria,0.0,1.0,4.0,120.0,269.0,350.0,394.0,123.0,128.0,383.0,221.0,248.0,80.0,226.0,209.0,219.0,72.0,91.0,128.0,111.0,191.0,92.0,125.0,124.0,73.0,43.0,46.0,27.0,4098.0,0.0,1.0,34.0,274.0,826.0,1943.0,3059.0,1091.0,2008.0,3304.0,1153.0,1178.0,674.0,1073.0,714.0,500.0,232.0,292.0,495.0,345.0,541.0,252.0,276.0,264.0,222.0,111.0,110.0,89.0,21061.0,55631489801.5508,62045099642.7774,45715367087.1001,48003298223.1178,49946455210.965996,42542571305.5136,41764052457.8814,46941496779.8499,48177862501.9495,48187747528.899,48640574566.6476,54790245600.5846,54744714396.1666,56760288973.6703,67863829880.4832,85324998813.604,103198228458.58801,117027304746.54,134977087734.00801,171000691877.714,137211039898.19301,161207268655.392,200013051408.11603,209047389309.482,209783503258.224,213983107815.932,164779467703.299,156079606663.18802,0.0,0.0,1.0,5.0,37.0,30.0,15.0,9.0,361.0,143.0,143.0,247.0,32.0,535.0,58.0,95.0,26.0,46.0,31.0,58.0,48.0,26.0,17.0,23.0,27.0,1.0,1.0,0.0,2015.0
Angola,258.0,181.0,18.0,34.0,220.0,319.0,74.0,26.0,30.0,108.0,243.0,129.0,121.0,62.0,34.0,12.0,7.0,2.0,22.0,9.0,9.0,3.0,2.0,0.0,1.0,4.0,2.0,8.0,1938.0,2873.0,2609.0,526.0,2328.0,12398.0,4009.0,215.0,75.0,95.0,1200.0,2665.0,1206.0,2154.0,578.0,81.0,49.0,11.0,0.0,26.0,4.0,25.0,7.0,1.0,0.0,2.0,0.0,1.0,14.0,33152.0,10026737967.9144,10026737967.9144,12118610904.2251,5684291718.77106,5278182970.79618,4059352153.0536795,5039552482.42778,7526446605.51712,7648377412.83277,6445041824.66621,6152922942.98032,9129594818.60749,8936063723.20121,12497346669.6684,14188949190.618,19640848728.8937,28233712830.9035,41789478661.3096,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673,124912063308.202,126776874216.703,102962245246.70801,89633156470.3104,297.0,191.0,212.0,32.0,761.0,304.0,56.0,1.0,45.0,214.0,464.0,258.0,1038.0,97.0,59.0,12.0,3.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,4053.0
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17699,164657930452.787,198737095012.28198,232557260817.308,287530508430.568,361558037110.419,332976484577.61896,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,584711485367.2671,545866164478.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,0.0,0.0,0.0,9.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,8.0,1.0,41.0,0.0,0.0,0.0,85.0,37.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,16.0,4.0,193.0,0.0,2256838858.4271398,2068526521.9029899,1272577521.7683,1201313196.45626,1315158670.4797099,1468317350.02343,1596968913.19202,1639492424.38103,1893726437.35976,1845482181.48539,1911563665.3900602,2118467913.37873,2376335048.3997602,2807061008.69084,3576615240.41616,4900469515.07252,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.987041,9260284937.797821,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10529182498.3475,10547331235.1895,0.0,0.0,0.0,44.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,74.0
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299941372852.37396,311425933051.174,326068597441.331,325692532492.502,312372821810.00604,323216879972.328,368391743391.743,401819423368.74,436097980904.68,399778878111.646,389146509587.66797,415446209885.072,378899860470.108,394635830891.586,466853232382.062,613329776639.636,693764095624.718,747572626534.891,853764622752.61,1055334825425.25,927168310999.853,1142876772659.21,1390557034407.97,1538194473087.23,1567178619062.28,1459597906912.7,1345383143356.35,1204616439828.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132785154342.17401,166062376739.683,173375508073.07,194608183696.469,189921096652.07602,203044926876.28,240457622492.15198,236720496490.772,212323463750.14102,217683626056.025,216725261027.06198,196421706283.398,196953628635.347,212970685111.98898,260721478555.305,299857238639.185,314648986444.472,334309371471.584,386458951546.674,427611527757.43396,397594276187.83,390211866490.257,429037361514.409,407451583084.239,428248420485.175,438376178526.317,376967406147.98706,386427793787.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,0.0,0.0,3.0,181.0,74.0,58.0,9.0,3.0,3.0,4.0,6.0,7.0,5.0,0.0,0.0,3.0,22.0,8.0,11.0,7.0,6.0,14.0,20.0,12.0,10.0,33.0,43.0,31.0,573.0,0.0,0.0,35.0,2243.0,1197.0,1489.0,54.0,5.0,29.0,34.0,18.0,13.0,6.0,0.0,0.0,8.0,24.0,5.0,12.0,30.0,7.0,20.0,21.0,16.0,11.0,46.0,63.0,137.0,5523.0,0.0,8858006035.915659,8792365810.5094,4991350457.5425,3973027396.65195,3313739673.54738,3052467522.3610396,3176749593.11788,3962710163.1116705,4446396217.63265,4581222442.457829,5272617196.045171,5707720390.8515,6235795103.88809,7276013031.96905,8680472168.51531,13245716099.0057,20983019923.8863,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,69684317718.9409,74164435946.4627,75244166772.9185,53074370486.0433,37847715736.0406,0.0,0.0,0.0,307.0,56.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,396.0
