year,total,civilians,events,gdp
1989,0,0,0,2335124987.5
1990,0,0,0,2101624962.5
1991,0,0,0,1139166645.8333302
1992,0,0,0,709452583.880319
1993,0,0,0,1228071037.84446
1994,0,0,0,1985673798.10258
1995,0,0,0,2424499009.1426396
1996,0,0,0,3314898291.75235
1997,0,0,0,2359903108.38446
1998,0,0,0,2707123772.16195
1999,6,2,4,3414760915.27878
2000,0,0,0,3632043907.9773297
2001,0,0,0,4060758804.12084
2002,0,0,0,4435078647.74817
2003,0,0,0,5746945912.58082
2004,0,0,0,7314865175.6199
2005,0,0,0,8158548716.68554
2006,0,0,0,8992642348.7871
2007,0,0,0,10701011896.7708
2008,0,0,0,12881352687.7773
2009,0,0,0,12044212903.8168
2010,0,0,0,11926953258.916
2011,0,0,0,12890867538.5302
2012,0,0,0,12319784787.2987
2013,0,0,0,12781029643.5936
2014,0,0,0,13219857459.1009
2015,0,0,0,11390365293.8057
2016,0,0,0,11926892452.8499
