year,total,civilians,events,gdp
1989,0,0,0,55631489801.5508
1990,1,0,1,62045099642.7774
1991,34,1,4,45715367087.1001
1992,274,5,120,48003298223.1178
1993,826,37,269,49946455210.965996
1994,1943,30,350,42542571305.5136
1995,3059,15,394,41764052457.8814
1996,1091,9,123,46941496779.8499
1997,2008,361,128,48177862501.9495
1998,3304,143,383,48187747528.899
1999,1153,143,221,48640574566.6476
2000,1178,247,248,54790245600.5846
2001,674,32,80,54744714396.1666
2002,1073,535,226,56760288973.6703
2003,714,58,209,67863829880.4832
2004,500,95,219,85324998813.604
2005,232,26,72,103198228458.58801
2006,292,46,91,117027304746.54
2007,495,31,128,134977087734.00801
2008,345,58,111,171000691877.714
2009,541,48,191,137211039898.19301
2010,252,26,92,161207268655.392
2011,276,17,125,200013051408.11603
2012,264,23,124,209047389309.482
2013,222,27,73,209783503258.224
2014,111,1,43,213983107815.932
2015,110,1,46,164779467703.299
2016,89,0,27,156079606663.18802
