year,total,civilians,events,gdp
1989,2873,297,258,10026737967.9144
1990,2609,191,181,10026737967.9144
1991,526,212,18,12118610904.2251
1992,2328,32,34,5684291718.77106
1993,12398,761,220,5278182970.79618
1994,4009,304,319,4059352153.0536795
1995,215,56,74,5039552482.42778
1996,75,1,26,7526446605.51712
1997,95,45,30,7648377412.83277
1998,1200,214,108,6445041824.66621
1999,2665,464,243,6152922942.98032
2000,1206,258,129,9129594818.60749
2001,2154,1038,121,8936063723.20121
2002,578,97,62,12497346669.6684
2003,81,59,34,14188949190.618
2004,49,12,12,19640848728.8937
2005,11,3,7,28233712830.9035
2006,0,0,2,41789478661.3096
2007,26,1,22,60448921272.2326
2008,4,1,9,84178032716.0971
2009,25,0,9,75492384801.3695
2010,7,6,3,82470913120.7314
2011,1,0,2,104115923082.737
2012,0,0,0,115398371427.673
2013,2,0,1,124912063308.202
2014,0,0,4,126776874216.703
2015,1,0,2,102962245246.70801
2016,14,1,8,89633156470.3104
