year,total,civilians,events,gdp
1989,0,0,0,76636898036.4712
1990,0,0,0,141352368714.691
1991,0,0,0,189719984268.485
1992,0,0,1,228788617201.696
1993,0,0,0,236741715015.015
1994,0,0,0,257440000000.0
1995,0,0,0,258031750000.0
1996,0,0,0,272149750000.0
1997,0,0,0,292859000000.0
1998,0,0,0,298948250000.0
1999,0,0,0,283523000000.0
2000,0,0,0,284203750000.0
2001,0,0,0,268696750000.0
2002,0,0,0,97724004251.8602
2003,0,0,0,127586973492.17699
2004,0,0,0,164657930452.787
2005,0,0,0,198737095012.28198
2006,0,0,0,232557260817.308
2007,0,0,0,287530508430.568
2008,0,0,0,361558037110.419
2009,0,0,0,332976484577.61896
2010,0,0,0,423627422092.49
2011,0,0,0,530163281574.65796
2012,0,0,0,545982375701.128
2013,0,0,0,552025140252.246
2014,0,0,0,526319673731.63794
2015,0,0,0,584711485367.2671
2016,0,0,0,545866164478.053
