year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,2256838858.4271398
1991,0,0,0,2068526521.9029899
1992,85,44,9,1272577521.7683
1993,37,17,7,1201313196.45626
1994,30,0,1,1315158670.4797099
1995,8,1,6,1468317350.02343
1996,0,0,0,1596968913.19202
1997,0,0,0,1639492424.38103
1998,0,0,0,1893726437.35976
1999,0,0,0,1845482181.48539
2000,0,0,0,1911563665.3900602
2001,0,0,0,2118467913.37873
2002,0,0,0,2376335048.3997602
2003,0,0,0,2807061008.69084
2004,0,0,0,3576615240.41616
2005,1,0,1,4900469515.07252
2006,2,0,2,6384451606.1421
2007,0,0,0,9206301700.39619
2008,0,0,0,11662040713.8753
2009,0,0,0,8647936747.987041
2010,0,0,0,9260284937.797821
2011,0,0,0,10142111334.4961
2012,9,0,5,10619320048.5857
2013,1,0,1,11121465767.4067
2014,0,0,0,11609512939.7543
2015,16,12,8,10529182498.3475
2016,4,0,1,10547331235.1895
