year,total,civilians,events,gdp
1989,0,0,0,299941372852.37396
1990,0,0,0,311425933051.174
1991,0,0,0,326068597441.331
1992,0,0,0,325692532492.502
1993,0,0,0,312372821810.00604
1994,0,0,0,323216879972.328
1995,0,0,0,368391743391.743
1996,0,0,0,401819423368.74
1997,0,0,0,436097980904.68
1998,0,0,0,399778878111.646
1999,0,0,0,389146509587.66797
2000,0,0,0,415446209885.072
2001,0,0,0,378899860470.108
2002,0,0,0,394635830891.586
2003,0,0,0,466853232382.062
2004,0,0,0,613329776639.636
2005,0,0,0,693764095624.718
2006,0,0,0,747572626534.891
2007,0,0,0,853764622752.61
2008,0,0,0,1055334825425.25
2009,0,0,0,927168310999.853
2010,0,0,0,1142876772659.21
2011,0,0,0,1390557034407.97
2012,0,0,0,1538194473087.23
2013,0,0,0,1567178619062.28
2014,0,0,0,1459597906912.7
2015,0,0,0,1345383143356.35
2016,0,0,0,1204616439828.41
