year,total,civilians,events,gdp
1989,0,0,0,132785154342.17401
1990,0,0,0,166062376739.683
1991,0,0,0,173375508073.07
1992,0,0,0,194608183696.469
1993,0,0,0,189921096652.07602
1994,0,0,0,203044926876.28
1995,0,0,0,240457622492.15198
1996,0,0,0,236720496490.772
1997,0,0,0,212323463750.14102
1998,0,0,0,217683626056.025
1999,0,0,0,216725261027.06198
2000,0,0,0,196421706283.398
2001,0,0,0,196953628635.347
2002,0,0,0,212970685111.98898
2003,0,0,0,260721478555.305
2004,0,0,0,299857238639.185
2005,0,0,0,314648986444.472
2006,0,0,0,334309371471.584
2007,0,0,0,386458951546.674
2008,0,0,0,427611527757.43396
2009,0,0,0,397594276187.83
2010,0,0,0,390211866490.257
2011,0,0,0,429037361514.409
2012,0,0,0,407451583084.239
2013,0,0,0,428248420485.175
2014,0,0,0,438376178526.317
2015,0,0,0,376967406147.98706
2016,0,0,0,386427793787.215
