year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,8858006035.915659
1991,35,0,3,8792365810.5094
1992,2243,307,181,4991350457.5425
1993,1197,56,74,3973027396.65195
1994,1489,10,58,3313739673.54738
1995,54,7,9,3052467522.3610396
1996,5,0,3,3176749593.11788
1997,29,0,3,3962710163.1116705
1998,34,0,4,4446396217.63265
1999,18,0,6,4581222442.457829
2000,13,0,7,5272617196.045171
2001,6,0,5,5707720390.8515
2002,0,0,0,6235795103.88809
2003,0,0,0,7276013031.96905
2004,8,3,3,8680472168.51531
2005,24,0,22,13245716099.0057
2006,5,0,8,20983019923.8863
2007,12,0,11,33050343782.7759
2008,30,0,7,48852482960.0779
2009,7,0,6,44291490420.5026
2010,20,0,14,52902703376.1056
2011,21,3,20,65951627200.2026
2012,16,0,12,69684317718.9409
2013,11,0,10,74164435946.4627
2014,46,0,33,75244166772.9185
2015,63,0,43,53074370486.0433
2016,137,10,31,37847715736.0406
