year,total,civilians,events,gdp
1989,0,0,0,3863563829.7872295
1990,0,0,0,4229787234.04255
1991,0,0,0,4616223404.255321
1992,0,0,0,4751063829.78723
1993,0,0,0,5200265957.44681
1994,0,0,0,5567553457.44681
1995,0,0,0,5849467819.14894
1996,0,0,0,6101861436.17021
1997,0,0,0,6349202393.617021
1998,0,0,0,6183776595.744679
1999,0,0,0,6621010372.340429
2000,0,0,0,9062906914.89362
2001,0,0,0,8976207712.765959
2002,0,0,0,9632155053.19149
2003,0,0,0,11074822074.4681
2004,0,0,0,13150166755.3191
2005,0,0,0,15968726861.7021
2006,0,0,0,18505053191.4894
2007,0,0,0,21730000000.0
2008,0,0,0,25710877659.5745
2009,0,0,0,22938218085.1064
2010,0,0,0,25713271276.5957
2011,26,26,24,29157446808.5106
2012,0,0,0,30749308510.6383
2013,0,0,0,32898670212.766003
2014,0,0,0,33387712765.9574
2015,0,0,0,31125851063.8298
2016,0,0,0,31858510638.2979
