year,total,civilians,events,gdp
1989,81,54,20,28781714763.7823
1990,94,48,27,31598341233.5793
1991,107,70,36,30957483290.541
1992,225,205,29,31708873954.9405
1993,43,7,18,33166520084.8295
1994,32,23,6,33768662171.2233
1995,14,1,13,37939748051.3878
1996,46,34,23,46438482370.3942
1997,16,3,11,48244308274.8086
1998,21,7,11,49984559471.3656
1999,14,1,18,51270569883.5275
2000,105,4,8,53369787318.6245
2001,62,6,27,53991289844.3291
2002,6,0,4,54724081490.5102
2003,8,0,15,60158929188.2556
2004,51,25,37,65108544250.0425
2005,95,22,71,69442943089.4309
2006,99,8,74,71819083683.7403
2007,18,0,13,79611888213.148
2008,13,3,11,91631278239.3237
2009,10,2,9,102477791472.39
2010,5,1,8,115279077465.226
2011,0,0,1,128637938711.386
2012,2,0,2,133355749482.47801
2013,54,11,38,149990451022.29
2014,4,0,4,172885454931.453
2015,18,12,15,195078561219.325
2016,75,36,29,221415280325.518
