year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,21650000000.0
1991,0,0,0,17420000000.0
1992,0,0,0,17120370370.3704
1993,0,0,0,16286280991.7355
1994,0,0,0,14932192010.7419
1995,0,0,0,13972630803.5817
1996,0,0,0,14756861538.4615
1997,0,0,0,14128412417.193
1998,0,0,0,15222014828.3039
1999,0,0,0,12138485328.6267
2000,0,0,0,12736856827.9847
2001,0,0,0,12354820143.8849
2002,0,0,0,14594925392.9691
2003,0,0,0,17825436034.5366
2004,0,0,0,23141587717.7633
2005,0,0,0,30210091836.8294
2006,0,0,0,36961821893.6976
2007,0,0,0,45275747860.6442
2008,0,0,0,60752177438.8895
2009,0,0,0,49208656976.0389
2010,0,0,0,57231904542.8755
2011,0,0,0,61762341356.8996
2012,0,0,0,65685903833.0838
2013,0,0,0,75527537703.1836
2014,0,0,0,78813049849.6078
2015,0,0,0,56454775870.958
2016,0,0,0,47433442293.1858
