year,total,civilians,events,gdp
1989,0,0,0,165100250614.251
1990,0,0,0,206431036697.24802
1991,0,0,0,211638016538.689
1992,0,0,0,236038607528.23102
1993,0,0,0,225924893540.112
1994,0,0,0,246195171328.67102
1995,0,0,0,289567597153.80396
1996,0,0,0,281357654723.127
1997,0,0,0,254813937753.721
1998,0,0,0,260602356079.129
1999,0,0,0,260202429149.798
2000,0,0,0,237904919845.21802
2001,0,0,0,237841610738.255
2002,0,0,0,258860342555.995
2003,0,0,0,319003386004.515
2004,0,0,0,370885274397.815
2005,0,0,0,387365999253.824
2006,0,0,0,409813072387.404
2007,0,0,0,471821790309.335
2008,0,0,0,518626043650.21204
2009,0,0,0,484552653514.865
2010,0,0,0,483548693409.33704
2011,0,0,0,527008036846.81104
2012,0,0,0,497884088082.651
2013,0,0,0,520117140495.05896
2014,0,0,0,531750903174.68604
2015,0,0,0,454991318727.90704
2016,34,32,3,466365727353.85
