year,total,civilians,events,gdp
1989,0,0,0,363150000.0
1990,0,0,0,413050000.0
1991,0,0,0,444720750.0
1992,0,0,0,518239100.0
1993,0,0,0,559858250.0
1994,0,0,0,580863700.0
1995,0,0,0,620140400.0
1996,0,0,0,641383800.0
1997,0,0,0,654314350.0
1998,0,0,0,688992450.0
1999,0,0,0,732732350.0
2000,0,0,0,832072450.0
2001,0,0,0,871860600.0
2002,0,0,0,932551850.0
2003,0,0,0,990374050.0
2004,0,0,0,1057845500.0
2005,0,0,0,1114222550.0
2006,0,0,0,1217467600.0
2007,0,0,0,1290573400.0
2008,0,0,0,1368625150.0
2009,0,0,0,1336957250.0
2010,0,0,0,1397113450.0
2011,0,0,0,1486712300.0
2012,0,0,0,1573618750.0
2013,0,0,0,1613705850.0
2014,0,0,0,1706497950.0
2015,0,0,0,1742545900.0
2016,0,0,0,1765256400.0
