year,total,civilians,events,gdp
1989,0,0,0,1502294411.46202
1990,0,0,0,1959965243.7626898
1991,0,0,0,1986437859.9034603
1992,0,0,0,1695315305.7030802
1993,0,0,0,2274557914.07481
1994,0,0,0,1598075932.3543198
1995,0,0,0,2169627250.9337897
1996,0,0,0,2361116587.86079
1997,0,0,0,2268301537.65128
1998,0,0,0,2455092582.30927
1999,0,0,0,2689787917.50711
2000,0,0,0,2569186642.86999
2001,0,0,0,2680213931.46472
2002,0,0,0,3054571081.6912
2003,0,0,0,3905366187.87017
2004,0,0,0,4521424807.22519
2005,0,0,0,4803702821.08055
2006,0,0,0,5142380779.44103
2007,0,0,0,5969535131.58016
2008,0,0,0,7132787396.66547
2009,0,0,0,7097198711.6102295
2010,0,0,0,6970240895.498879
2011,0,0,0,7814081155.649879
2012,0,0,0,8152554487.31321
2013,0,0,0,9156748441.42175
2014,0,0,0,9707432015.614408
2015,0,0,0,8290986804.45245
2016,0,0,0,8583031398.21675
