year,total,civilians,events,gdp
1989,0,0,0,275949889.09427
1990,0,0,0,299787275.842376
1991,0,0,0,250045839.929639
1992,0,0,0,250794359.567901
1993,0,0,0,235239570.350935
1994,0,0,0,270801565.189672
1995,0,0,0,303053462.843047
1996,0,0,0,316420860.852385
1997,4,0,1,365964500.137703
1998,0,0,0,376955087.251575
1999,0,0,0,419035810.496981
2000,0,0,0,439158233.199822
2001,0,0,0,476360697.18160594
2002,0,0,0,537050133.717342
2003,0,0,0,622026107.7715759
2004,0,0,1,702682018.976169
2005,0,0,0,818869145.124717
2006,0,0,0,897731524.9299221
2007,0,0,0,1196091805.02316
2008,0,0,0,1258332337.28382
2009,0,0,0,1264758197.96593
2010,0,0,0,1585472534.10547
2011,0,0,0,1820207625.80217
2012,0,0,0,1823692109.61652
2013,0,0,0,1798333725.8395398
2014,0,0,0,1958819914.95916
2015,0,0,0,2057947621.19283
2016,0,0,0,2236933237.89015
