year,total,civilians,events,gdp
1989,0,0,0,4715978868.216129
1990,0,0,0,4867582620.20708
1991,0,0,0,5343274311.56789
1992,0,0,0,5643893347.00679
1993,0,0,0,5734676560.92471
1994,0,0,0,5981244886.917
1995,0,0,0,6715220507.05164
1996,0,0,0,7396966657.470541
1997,0,0,0,7925673448.41368
1998,2,0,1,8497545598.08352
1999,0,0,0,8285075872.27307
2000,50,0,9,8397912509.09679
2001,0,0,0,8141537937.61068
2002,0,0,0,7905485216.17852
2003,0,0,0,8082364868.39357
2004,0,0,0,8773451738.911291
2005,0,0,0,9549077869.10651
2006,0,0,0,11451869164.7112
2007,0,0,0,13120159975.5451
2008,0,0,0,16674324634.2373
2009,0,0,0,17339992165.2422
2010,0,0,0,19649631308.1648
2011,0,0,0,23963033443.8518
2012,0,0,0,27084497539.7974
2013,0,0,0,30659338929.0883
2014,0,0,0,32996187988.4226
2015,0,0,0,33000198263.3864
2016,0,0,0,33806395513.7482
