year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,7629,3910,375,0.0
1993,5812,1089,613,0.0
1994,3140,850,445,1255802469.1358
1995,9755,8643,433,1866572953.7366602
1996,0,0,0,2786045321.63743
1997,0,0,0,3671816504.23851
1998,0,0,0,4116699437.4041
1999,0,0,0,4685729738.56209
2000,0,0,0,5505984455.95855
2001,0,0,0,5748990666.17862
2002,0,0,0,6651226179.01829
2003,0,0,0,8370020196.19158
2004,0,0,0,10022840634.9206
2005,0,0,0,11225138297.1959
2006,0,0,0,12866524918.2221
2007,0,0,0,15776422673.198
2008,0,0,0,19101454463.7507
2009,0,0,0,17600630726.6141
2010,0,0,0,17164279813.0968
2011,0,0,0,18629346790.8167
2012,0,0,0,17207367625.8048
2013,0,0,0,18154290272.2151
2014,0,0,0,18521475376.4754
2015,0,0,0,16173806634.5336
2016,0,0,0,16559695718.568
