year,total,civilians,events,gdp
1989,0,0,0,3083800684.89751
1990,1,1,1,3790567051.8677797
1991,0,0,0,3942792837.35655
1992,0,0,0,4146513722.3301897
1993,0,0,0,4160086253.1468
1994,0,0,0,4259330999.0315104
1995,0,0,0,4730611067.02258
1996,0,0,0,4847752842.78924
1997,0,0,0,5020214747.45261
1998,0,0,0,4790458837.170779
1999,0,0,0,5484257417.17844
2000,0,0,0,5788329609.15755
2001,0,0,0,5489608299.66445
2002,0,0,0,5438857106.73536
2003,0,0,0,7511582173.37724
2004,0,0,0,8957467706.5354
2005,0,0,0,9931134940.51346
2006,0,0,0,10126940513.3125
2007,0,0,0,10939053367.1521
2008,0,0,0,10945070441.9283
2009,0,0,0,10267133177.7334
2010,0,0,0,12786654365.8738
2011,0,0,0,15682926890.0326
2012,0,0,0,14686278713.5189
2013,0,0,0,14915780533.086
2014,0,0,0,16259445049.7698
2015,0,0,0,14430608463.4399
2016,0,0,0,15274861068.209
