year,total,civilians,events,gdp
1989,0,0,0,425595310000.0
1990,0,0,0,461951782000.0
1991,0,0,0,602860000000.0
1992,0,0,0,400599250000.0
1993,42,29,4,437798577639.752
1994,29,2,6,558111997497.263
1995,51,13,8,785643456467.255
1996,20,9,3,850425828275.793
1997,33,1,10,883199443413.729
1998,13,0,3,863723395088.3241
1999,59,17,12,599388879704.634
2000,33,1,11,655421153320.579
2001,74,0,10,559372502338.237
2002,61,7,17,507962741819.919
2003,43,6,7,558320116997.075
2004,86,6,12,669316239316.239
2005,54,33,16,891629970423.9241
2006,22,5,3,1107640325472.35
2007,40,6,9,1397084381901.29
2008,20,10,5,1695824517395.57
2009,40,5,3,1667019605881.76
2010,4,0,2,2208871646202.82
2011,31,1,3,2616201578192.25
2012,11,6,2,2465188674415.03
2013,4,0,1,2472806919901.67
2014,1,0,1,2455993200170.0
2015,0,0,0,1803652649613.75
2016,0,0,0,1796186586414.45
