year,total,civilians,events,gdp
1989,0,0,0,2985467979.2852397
1990,0,0,0,3520551724.13793
1991,0,0,0,3701667052.55846
1992,0,0,0,4183548189.07305
1993,0,0,0,4105706151.75145
1994,0,0,0,4087337959.93191
1995,0,0,0,4734020036.68689
1996,0,0,0,5115602836.87943
1997,0,0,0,5197332974.13793
1998,0,0,0,4051147227.53346
1999,0,0,0,4600000000.0
2000,0,0,0,6001153306.2645
2001,0,0,0,5601090584.36122
2002,0,0,0,5843329107.56171
2003,0,0,0,6557333084.60567
2004,0,0,0,7872333215.004141
2005,0,0,0,9531402847.87311
2006,0,0,0,11470703002.0769
2007,0,0,0,12247694247.2298
2008,0,0,0,14393099068.5859
2009,0,0,0,10732366286.2643
2010,0,0,0,13707370737.0737
2011,0,0,0,18525319977.7407
2012,0,0,0,19048495518.5659
2013,0,0,0,18093829923.2737
2014,0,0,0,17123125493.2912
2015,0,0,0,12930394937.8137
2016,0,0,0,11400266877.3769
