year,total,civilians,events,gdp
1989,0,0,0,21988444444.4444
1990,0,0,0,20632090909.0909
1991,0,0,0,10943548387.0968
1992,0,0,0,10350515463.9175
1993,0,0,0,10829710144.9275
1994,0,0,0,9697416974.16974
1995,0,0,0,13063422619.0476
1996,0,0,0,10109404159.6402
1997,0,0,0,11195630536.8928
1998,0,0,0,14630974778.4594
1999,0,0,0,13495062850.302
2000,0,0,0,13148099185.2305
2001,0,0,0,14135393875.5893
2002,0,0,0,16360346653.8276
2003,0,0,0,21074775206.3254
2004,0,0,0,26094622563.6468
2005,0,0,0,29821662537.3229
2006,0,0,0,34304448149.8108
2007,0,0,0,44765733379.98599
2008,0,0,0,54666642734.2757
2009,0,0,0,51783454183.5501
2010,0,0,0,50610031135.7791
2011,0,0,0,57418391041.5926
2012,0,0,0,53903028252.2996
2013,0,0,0,55758744571.1183
2014,0,0,0,56732006512.0065
2015,0,0,0,50199117547.0415
2016,0,0,0,52395164027.1493
