year,total,civilians,events,gdp
1989,0,0,0,2615588545.68629
1990,0,0,0,3101301780.95067
1991,0,0,0,3135045684.1006
1992,0,0,0,2240264711.54816
1993,0,0,0,2332018010.55341
1994,0,0,0,1895290964.8082898
1995,0,0,0,2379518099.2266
1996,0,0,0,2586550747.0984397
1997,0,0,0,2447669403.89018
1998,0,0,0,2804902723.73145
1999,0,0,0,2993753187.09677
2000,0,0,0,2628920056.1009803
2001,0,0,0,2812845513.57125
2002,0,0,0,3205592289.79773
2003,0,0,0,4205691222.1139603
2004,0,0,0,4838551099.70985
2005,0,0,0,5462709498.45119
2006,0,0,0,5844669845.53733
2007,0,0,0,6771277870.96412
2008,0,0,0,8369637065.40255
2009,0,0,0,8369175126.2531595
2010,0,0,0,8979966766.07232
2011,0,0,0,10724061338.5874
2012,0,0,0,11166061507.8024
2013,0,0,0,11934606509.5944
2014,0,0,0,12400688571.1396
2015,0,0,0,11148759324.507
2016,25,0,1,12115155931.5461
