year,total,civilians,events,gdp
1989,0,0,0,1113924130.41149
1990,7,0,1,1132101252.5181699
1991,278,10,10,1167398478.3459
1992,61,1,3,1083037670.60484
1993,5,5,5,938632612.026359
1994,56,11,24,925030590.1536831
1995,1547,1344,90,1000428393.8852801
1996,2673,2185,83,869033856.317093
1997,1573,812,88,972896267.915425
1998,1398,825,75,893770806.077641
1999,1012,628,93,808077223.365746
2000,2071,714,188,870486065.883137
2001,1253,303,115,876794723.068586
2002,1576,617,193,825394490.159111
2003,1245,369,149,784654423.620476
2004,679,259,81,915257323.3961
2005,378,114,90,1117257279.46188
2006,185,50,53,1273180597.0271099
2007,79,23,25,1356078278.18821
2008,220,26,22,1611634331.64869
2009,0,0,0,1739781488.7457
2010,0,0,0,2026864469.3638802
2011,0,0,0,2355652125.85184
2012,9,0,1,2472384906.99794
2013,9,9,1,2714505634.52629
2014,50,1,3,3093647226.8107
2015,213,71,23,3097324739.8493
2016,13,6,13,3007029030.3997602
