year,total,civilians,events,gdp
1989,814,16,43,0.0
1990,377,104,25,0.0
1991,322,136,18,0.0
1992,193,90,17,0.0
1993,484,228,82,2533727592.02872
1994,572,115,73,2791435272.25765
1995,723,50,100,3441205692.90388
1996,846,70,89,3506695719.5716
1997,455,34,55,3443413388.70675
1998,274,69,35,3120425502.56968
1999,0,0,1,3517242477.2336802
2000,4,4,4,3654031716.2764897
2001,0,0,0,3984000517.01899
2002,0,0,0,4284028482.5497103
2003,1,1,1,4658246918.260139
2004,0,0,0,5337833248.028279
2005,0,0,0,6293046161.82646
2006,0,0,0,7274595706.66355
2007,2,2,1,8639235842.177559
2008,2,0,1,10351914093.1626
2009,2,0,1,10401851850.6062
2010,0,0,0,11242275198.9706
2011,10,2,3,12829541141.0175
2012,1,1,2,14038383450.1945
2013,0,0,0,15449630418.5461
2014,0,0,0,16777820332.6952
2015,0,0,0,18049954289.4301
2016,0,0,0,20016747754.0153
