year,total,civilians,events,gdp
1989,0,0,0,11140055364.1502
1990,6,6,1,11151578050.7356
1991,50,0,1,12434370004.9586
1992,25,0,3,11396310990.2197
1993,47,0,5,13532137227.585
1994,102,55,7,9220470913.32766
1995,0,0,0,8733231184.34755
1996,56,2,3,9732328115.73674
1997,0,0,0,9840553235.89425
1998,52,0,4,9629649416.89037
1999,0,0,0,10486451144.4061
2000,2,2,4,9287367235.25769
2001,0,0,3,9633109349.64535
2002,0,0,0,10879778384.1965
2003,0,0,0,13621738837.1961
2004,9,9,2,15775357014.6254
2005,0,0,3,16587858856.6778
2006,0,0,0,17953066721.0949
2007,0,0,0,20431780377.8605
2008,0,0,1,23322254113.5623
2009,0,0,1,23381142146.6485
2010,0,0,0,23622483983.7101
2011,0,0,0,26587311527.5711
2012,0,0,0,26472056037.7696
2013,1,1,1,29567504655.4935
2014,1047,89,51,32050817632.9602
2015,1229,306,60,28415950981.4447
2016,487,304,96,24204448566.6105
