year,total,civilians,events,gdp
1989,0,0,0,565055743243.2429
1990,0,0,0,593929550908.468
1991,0,0,0,610328183643.188
1992,0,0,0,592387689252.916
1993,0,0,0,577170761956.438
1994,3,0,3,578139279437.61
1995,24,1,9,604031623433.401
1996,2,0,1,628546387972.131
1997,2,0,1,652825364726.275
1998,27,0,9,631813279406.808
1999,11,0,3,676082654640.91
2000,23,0,8,742293448252.643
2001,1,0,1,736379777892.562
2002,0,0,0,757950678646.53
2003,0,0,0,892380986367.854
2004,0,0,0,1023196003074.56
2005,0,0,0,1169357979864.66
2006,0,0,0,1315415197461.21
2007,0,0,0,1464977190205.75
2008,0,0,0,1549131208997.19
2009,0,0,0,1371153004986.44
2010,0,0,0,1613464422811.13
2011,0,0,0,1788647906047.76
2012,0,0,0,1824288757447.57
2013,0,0,0,1842628005830.18
2014,0,0,0,1792883225804.38
2015,0,0,0,1552807652015.37
2016,0,0,0,1529760492201.35
