year,total,civilians,events,gdp
1989,0,0,0,1233930277.0492198
1990,0,0,0,1440711395.67069
1991,0,0,1,1377375030.5292099
1992,3,1,1,1411917558.45855
1993,4,4,3,1278781166.72188
1994,0,0,0,851174350.6494089
1995,0,0,0,1115389731.7911901
1996,0,0,0,1007791186.2010599
1997,0,0,0,937741468.029676
1998,0,0,0,967338348.6583141
1999,5,5,1,999477510.686632
2000,6,0,1,914500299.097034
2001,255,24,27,931833302.7528571
2002,152,43,14,991387870.1246301
2003,17,4,4,1139754799.16304
2004,0,0,0,1270080250.6526802
2005,8,8,6,1350301057.06866
2006,164,119,32,1460562038.37097
2007,136,124,22,1698125617.9230402
2008,6,6,3,1985239276.62611
2009,179,93,52,1981728140.77833
2010,113,69,33,1986014845.6318398
2011,135,23,21,2212699746.81377
2012,96,38,28,2184183758.31567
2013,3185,2305,172,1518565219.0106099
2014,2778,1729,354,1702898939.55483
2015,427,150,69,1583776759.97697
2016,398,240,36,1756124677.1967099
