year,total,civilians,events,gdp
1989,220,170,4,1433686309.83641
1990,686,34,19,1738605558.05436
1991,95,27,6,1877138041.64308
1992,1197,298,32,1881847676.80752
1993,313,193,15,1463251055.40068
1994,526,234,18,1179837954.72193
1995,53,49,17,1445919969.89272
1996,4,4,3,1607345450.0457802
1997,135,38,8,1544689502.82472
1998,195,164,9,1744794457.276
1999,394,0,12,1534673583.2487
2000,1070,5,14,1385058161.7674599
2001,230,4,6,1709347793.32873
2002,298,3,10,1987622279.11463
2003,37,0,4,2736666515.8294
2004,78,28,9,4414929219.99649
2005,267,167,8,6646663561.2656
2006,1956,570,62,7422102655.98832
2007,431,220,19,8638711442.7705
2008,994,4,15,10351932604.4154
2009,135,10,12,9253484108.49701
2010,4,0,1,10657705536.4978
2011,0,0,0,12156380425.0825
2012,0,0,0,12368071038.7362
2013,0,0,0,12949854262.8127
2014,6,6,1,13922223233.5184
2015,394,119,28,10888798113.7866
2016,26,5,7,9600761473.78738
