year,total,civilians,events,gdp
1989,0,0,0,29885685142.9107
1990,0,0,0,33113887817.9731
1991,0,0,0,37834793730.3133
1992,0,0,0,45964327558.8836
1993,0,0,0,49297773130.1185
1994,0,0,0,57008425295.8256
1995,0,0,0,73447063319.3034
1996,0,0,0,78039572221.6024
1997,0,0,0,84952360922.4679
1998,0,0,0,81577430181.4074
1999,0,0,0,75173794497.0321
2000,0,0,0,77860932151.8471
2001,0,0,0,70979923960.3742
2002,0,0,0,69736811435.1032
2003,0,0,0,75643459839.6008
2004,0,0,0,99210392857.6116
2005,0,0,0,122964812046.07301
2006,0,0,0,154788024805.808
2007,0,0,0,173605968179.255
2008,0,0,0,179638496278.57397
2009,0,0,0,172389498444.62
2010,0,0,0,218537551220.071
2011,0,0,0,252251992029.442
2012,0,0,0,267122320056.702
2013,0,0,0,278384332694.359
2014,0,0,0,260990299051.17603
2015,0,0,0,242517905161.727
2016,0,0,0,247027912574.30103
