year,total,civilians,events,gdp
1989,2600,2600,3,347767206477.73303
1990,22,0,3,360858508604.206
1991,0,0,0,383372822299.65204
1992,0,0,0,426915227629.51294
1993,0,0,0,444730903968.185
1994,0,0,0,564325246266.838
1995,0,0,0,734548001963.907
1996,0,0,0,863746361646.34
1997,4,4,2,961603416246.472
1998,0,0,0,1029043011921.59
1999,0,0,3,1093997559885.48
2000,0,0,0,1211346395438.73
2001,0,0,0,1339395440432.04
2002,0,0,0,1470549716080.71
2003,0,0,0,1660287543796.06
2004,0,0,0,1955347477285.91
2005,12,12,2,2285965854313.36
2006,0,0,0,2752132089196.58
2007,0,0,1,3552182714426.55
2008,87,51,16,4598205419718.8
2009,189,11,5,5109954035775.98
2010,0,0,0,6100620356557.32
2011,0,0,0,7572554360442.62
2012,0,0,0,8560546868811.69
2013,0,0,0,9607224248684.59
2014,0,0,0,10482371325324.7
2015,5,5,1,11064664793255.7
2016,0,0,0,11199145157649.2
