year,total,civilians,events,gdp
1989,384,150,53,39540080200.3938
1990,712,171,100,40274204595.2296
1991,872,129,128,41239551378.2482
1992,1500,43,103,49279585355.0948
1993,302,76,47,55802538219.0264
1994,1211,92,70,81703500846.0364
1995,943,131,77,92507279383.0387
1996,1401,227,150,97160109277.8087
1997,891,311,181,106659508271.255
1998,1646,556,145,98443739941.1664
1999,2093,641,206,86186158684.7685
2000,2028,773,338,99886577330.7271
2001,2357,819,347,98203546156.3102
2002,3427,847,499,97933391976.08301
2003,1190,372,243,94684584162.77301
2004,1781,296,660,117074863821.85
2005,1702,164,536,146566264837.014
2006,588,95,119,162590146096.414
2007,362,52,100,207416494642.379
2008,252,42,76,243982437870.84
2009,419,42,83,233821670544.258
2010,442,47,88,287018184637.529
2011,227,27,60,335415156702.18604
2012,227,23,37,369659700375.52
2013,140,4,22,380191881860.372
2014,151,17,46,378195716714.266
2015,143,5,32,291519591532.951
2016,38,3,16,282462548889.26
