year,total,civilians,events,gdp
1989,29,0,2,198733185.87510702
1990,0,0,0,250030760.75478598
1991,0,0,0,246823428.906664
1992,0,0,0,266191040.37332797
1993,0,0,0,263568114.44546202
1994,0,0,0,185761822.560488
1995,0,0,0,231896229.562629
1996,0,0,0,230495751.44659302
1997,56,0,2,212099634.69775102
1998,40,3,3,215394066.068976
1999,0,0,0,222580453.753844
2000,0,0,0,203846427.73873702
2001,0,0,0,220093812.206791
2002,0,0,0,246737679.472106
2003,0,0,0,317562269.371106
2004,0,0,0,368143118.68996
2005,0,0,0,380372892.60677403
2006,0,0,0,406111873.539847
2007,0,0,0,462453582.87362695
2008,0,0,0,523134896.968654
2009,0,0,0,524157261.014644
2010,0,0,0,530493353.21893704
2011,0,0,0,586281766.7599701
2012,0,0,0,570865941.229395
2013,0,0,0,618663921.8611599
2014,0,0,0,647720707.076427
2015,0,0,0,565689764.63263
2016,0,0,0,616654490.471188
