year,total,civilians,events,gdp
1989,0,0,0,2389593021.9486604
1990,0,0,0,2798746050.5823603
1991,0,0,0,2724853507.6385603
1992,2,2,1,2933222705.80382
1993,135,83,10,1918970177.74925
1994,18,7,8,1769365438.87155
1995,2,0,1,2116003868.17928
1996,1,1,2,2540697537.71673
1997,10412,503,57,2322719101.29807
1998,3763,496,54,1949481380.6404397
1999,977,443,50,2353909441.71514
2000,0,0,0,3219910666.03357
2001,3,2,1,2794259783.08097
2002,234,49,24,3019993738.77492
2003,33,17,6,3495868808.0512
2004,0,0,0,4648628921.36969
2005,15,6,5,6087003176.11624
2006,0,0,0,7731261310.93322
2007,2,0,1,8394688284.062241
2008,1,0,1,11859014004.0772
2009,0,0,0,9593536531.23778
2010,0,0,0,12007880590.4575
2011,1,0,1,14425607224.168001
2012,2,0,2,13677930123.5919
2013,0,0,0,14085852120.4761
2014,0,0,0,14177437627.2969
2015,0,0,0,8553154505.836929
2016,51,32,4,7833509443.39395
