year,total,civilians,events,gdp
1989,0,0,0,6866402028.10997
1990,0,0,0,7403457319.2047205
1991,0,0,0,7168999428.244709
1992,0,0,0,8528593084.487491
1993,0,0,0,9537297507.16915
1994,0,0,0,10432619390.3609
1995,0,0,0,11513472693.8707
1996,0,0,0,11618286553.3677
1997,0,0,0,12552071367.1539
1998,0,0,0,13617405420.1174
1999,0,0,0,14195623424.811
2000,0,0,0,14949514585.1585
2001,0,0,0,15913363335.0564
2002,0,0,0,16504795453.2822
2003,0,0,0,17195867540.353
2004,0,0,0,18529767934.4743
2005,0,0,0,19952156474.8454
2006,0,0,0,22600431878.0024
2007,0,0,0,26743874286.8514
2008,0,0,0,30612932802.8991
2009,0,0,0,30562361123.0307
2010,0,0,0,37268635287.0856
2011,0,0,0,42262697840.385
2012,0,0,0,46473128285.5589
2013,0,0,0,49745088111.6953
2014,0,0,0,50656002895.8763
2015,0,0,0,54840103850.265
2016,0,0,0,57435507212.256
