year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,142,22,33,0.0
1993,373,58,55,0.0
1994,0,0,0,0.0
1995,963,171,69,22387561845.2244
1996,0,0,0,23678012697.3612
1997,0,0,0,23822087053.2091
1998,0,0,0,25432144406.2043
1999,0,0,0,23386945596.6928
2000,0,0,0,21774273832.1031
2001,0,0,0,23289671102.3197
2002,0,0,0,26878499206.0165
2003,0,0,0,34658113497.39
2004,0,0,0,41574530815.5047
2005,0,0,0,45416076680.8707
2006,0,0,0,50453577898.4886
2007,0,0,0,60093155532.7678
2008,0,0,0,70481451814.3118
2009,0,0,0,62703095750.5257
2010,0,0,0,59665427464.5326
2011,0,0,0,62236751773.0497
2012,0,0,0,56485301967.4205
2013,0,0,0,57769872074.882996
2014,0,0,0,57080369367.8021
2015,0,0,0,48676334689.3545
2016,0,0,0,50425333970.0264
