year,total,civilians,events,gdp
1989,0,0,0,27023468665.8977
1990,0,0,0,28645436569.1489
1991,0,0,0,24316556025.6585
1992,0,0,0,22085858243.2432
1993,0,0,0,22367254864.8649
1994,0,0,0,28448326756.7568
1995,0,0,0,30429803651.2192
1996,0,0,0,25017300000.0
1997,0,0,0,25366200000.0
1998,0,0,0,25736331247.1786
1999,0,0,0,28364615241.6894
2000,0,0,0,30565400000.0
2001,0,0,0,31682400000.0
2002,0,0,0,33590500000.0
2003,0,0,0,35901200000.0
2004,0,0,0,38203000000.0
2005,0,0,0,42643836074.8
2006,0,0,0,52742800000.0
2007,0,0,0,58603900000.0
2008,0,0,0,60806300000.0
2009,0,0,0,62080000000.0
2010,0,0,0,64328000000.0
2011,0,0,0,68990000000.0
2012,0,0,0,73141000000.0
2013,0,0,0,77148000000.0
2014,0,0,0,80656100000.0
2015,0,0,0,87132800000.0
2016,0,0,0,0.0
