year,total,civilians,events,gdp
1989,0,0,0,4563482603.5503
1990,0,0,0,5591130217.66965
1991,0,0,0,5770197348.48485
1992,0,0,0,6912150456.323339
1993,0,0,0,6590291048.29211
1994,0,0,0,7425703928.571429
1995,0,0,0,9826778783.9586
1996,0,0,0,9899623588.456709
1997,0,0,0,9594298745.72406
1998,0,0,0,10353506787.3303
1999,0,0,0,10614455231.931
2000,0,0,0,10183317624.8822
2001,0,0,0,10567304189.4353
2002,0,0,0,11618269230.7692
2003,0,0,0,14576896942.2424
2004,0,0,0,17422375000.0
2005,0,0,0,18703146374.829
2006,0,0,0,20403713461.2972
2007,0,0,0,24077470572.1325
2008,0,0,0,27839460963.8201
2009,0,0,0,25942622950.8197
2010,0,0,0,25562251655.6291
2011,0,0,0,27427161523.4918
2012,0,0,0,25012206090.1966
2013,0,0,0,24054965480.616
2014,0,0,0,23308212816.7706
2015,0,0,0,19559942331.1523
2016,0,0,0,19801664168.2788
