year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,40315847383.7197
1991,0,0,0,29557058174.1697
1992,0,0,0,34451993226.0347
1993,0,0,0,40452245779.1651
1994,0,0,0,47364869195.7617
1995,0,0,0,59537113790.5049
1996,0,0,0,66775046785.4354
1997,0,0,0,61621364981.4187
1998,0,0,0,66372594575.1707
1999,0,0,0,64719461254.5271
2000,0,0,0,61474265134.5364
2001,0,0,0,67375623427.4642
2002,0,0,0,81696651658.8981
2003,0,0,0,99300329682.0164
2004,0,0,0,118976023159.71301
2005,0,0,0,135990215966.67401
2006,0,0,0,155213006071.979
2007,0,0,0,188818155388.125
2008,0,0,0,235204812643.14603
2009,0,0,0,205729790694.015
2010,0,0,0,207016402026.36398
2011,0,0,0,227948349666.35397
2012,0,0,0,207376427020.815
2013,0,0,0,209402444996.10397
2014,0,0,0,207818330723.835
2015,0,0,0,185156359571.11603
2016,0,0,0,192924593987.295
