year,total,civilians,events,gdp
1989,28,28,3,9021862775.254429
1990,147,147,4,9349764580.35198
1991,32,32,8,9087965281.52807
1992,65,65,10,8206227134.008571
1993,3314,158,20,10707792340.0276
1994,330,328,14,5820383305.5466795
1995,523,58,15,5643439262.21735
1996,34530,32737,208,5771454939.62404
1997,13884,9581,134,6090840548.1878395
1998,8019,4794,118,6215591269.89747
1999,7537,3454,160,4711259427.27273
2000,2946,697,109,19088046305.7971
2001,1334,467,59,7438189100.33333
2002,7877,4584,124,8728038525.14034
2003,3855,2653,78,8937567059.87754
2004,815,739,33,10297483481.223
2005,283,274,25,11964484667.9102
2006,387,216,80,14296507096.4135
2007,903,278,118,16364029327.3457
2008,1737,927,106,19206060270.2521
2009,5161,3145,547,18262773820.8055
2010,805,518,90,20523285374.187
2011,491,180,156,23849009737.6669
2012,1795,570,149,27463220380.0054
2013,2164,590,150,30014813755.772003
2014,1514,480,112,34028119332.6087
2015,650,422,111,36188521106.9294
2016,860,316,103,34998638634.1
