year,total,civilians,events,gdp
1989,0,0,0,112409236409.401
1990,0,0,0,138247261092.977
1991,0,0,0,139224732275.463
1992,0,0,0,152915624326.966
1993,0,0,0,143195607581.857
1994,0,0,0,156162311731.59802
1995,0,0,0,185006961302.29898
1996,0,0,0,187632400365.599
1997,0,0,0,173537588008.176
1998,0,0,0,176992000955.11
1999,0,0,0,177965224620.85397
2000,0,0,0,164158800460.219
2001,0,0,0,164791416350.267
2002,0,0,0,178635160297.415
2003,0,0,0,218095997085.477
2004,0,0,0,251373036671.06198
2005,0,0,0,264467308109.19
2006,0,0,0,282884912894.33
2007,0,0,0,319423370134.284
2008,0,0,0,353361056079.716
2009,0,0,0,321241396034.248
2010,0,0,0,321995350346.50104
2011,0,0,0,344003209695.606
2012,0,0,0,327148899962.146
2013,0,0,0,343584385594.132
2014,0,0,0,352296969840.949
2015,0,0,0,301307828843.61304
2016,0,0,0,306142937248.09
