year,total,civilians,events,gdp
1989,6,0,1,409220087.102818
1990,60,0,1,452328087.28287596
1991,74,0,7,462421998.525779
1992,129,0,10,478058304.87111795
1993,33,2,8,466048469.22985995
1994,39,0,3,491689220.744875
1995,17,0,3,497723960.589913
1996,0,0,0,494004647.73437
1997,11,0,1,502675542.00122696
1998,16,1,2,514267869.300758
1999,25,3,8,536080148.09729904
2000,0,0,0,551230861.856505
2001,0,0,0,572417440.820162
2002,0,0,0,591122039.601398
2003,0,0,0,622044665.515049
2004,0,0,0,666072101.7775049
2005,0,0,0,708633194.726566
2006,0,0,0,768873684.032838
2007,0,0,0,847918929.107984
2008,35,0,2,999105339.2677289
2009,0,0,0,1049110684.72493
2010,0,0,0,1128611700.3618
2011,0,0,0,1239144501.77525
2012,0,0,0,1353632941.5207
2013,0,0,0,1455000000.0
2014,1,1,1,1588000000.0
2015,0,0,0,1727000000.0
2016,0,0,0,0.0
