year,total,civilians,events,gdp
1989,0,0,0,6686592728.70663
1990,0,0,0,7073674721.12418
1991,0,0,0,9724402004.34906
1992,0,0,0,11277676879.9612
1993,0,0,0,12976408000.0
1994,0,0,0,14511134920.6349
1995,0,0,0,16358496124.031
1996,0,0,0,18131813000.6281
1997,0,0,0,19593869595.0191
1998,0,0,0,21171523985.0642
1999,0,0,0,21709726722.118
2000,0,0,0,23996063503.0497
2001,0,0,0,24892521236.9553
2002,0,0,0,26571620978.7885
2003,0,0,0,21277165885.6865
2004,0,0,0,22039232609.9553
2005,0,0,0,34004033803.9438
2006,0,0,0,35952845582.5029
2007,0,0,0,44169678153.1566
2008,0,0,0,48288967303.4896
2009,0,0,0,48376555305.6902
2010,0,0,0,53954579003.5277
2011,0,0,0,57746684847.0898
2012,0,0,0,60613645121.3529
2013,0,0,0,61965942056.6828
2014,0,0,0,65231032303.2418
2015,0,0,0,68102618092.1031
2016,0,0,0,71583553488.0804
