year,total,civilians,events,gdp
1989,0,0,0,13890828707.6493
1990,0,0,0,15239278100.3502
1991,0,0,0,16988535267.6338
1992,0,0,0,18094238119.0595
1993,0,0,0,18938717358.6793
1994,0,0,0,22708673336.6683
1995,11,0,4,24432884442.2211
1996,0,0,0,25226393196.5983
1997,0,0,0,28162053026.5133
1998,0,0,0,27981896948.4742
1999,0,0,0,19645272636.3182
2000,0,0,0,18327764882.4412
2001,2,0,1,24468324000.0
2002,0,0,0,28548945000.0
2003,26,0,1,32432859000.0
2004,0,0,0,36591661000.0
2005,0,0,0,41507085000.0
2006,0,0,0,46802044000.0
2007,0,0,0,51007777000.0
2008,25,0,1,61762635000.0
2009,0,0,0,62519686000.0
2010,0,0,0,69555367000.0
2011,0,0,0,79276664000.0
2012,0,0,0,87924544000.0
2013,0,0,0,95129659000.0
2014,0,0,0,102292260000.0
2015,0,0,0,100176808000.0
2016,0,0,0,97802211000.0
