year,total,civilians,events,gdp
1989,0,0,0,39648442534.0768
1990,4,4,2,43130416913.4141
1991,0,0,0,36970555898.9698
1992,13,2,5,41855986519.4235
1993,108,10,43,46578631452.58099
1994,162,20,76,51897983392.6453
1995,233,53,118,60159245060.4542
1996,149,75,75,67629716981.1321
1997,143,81,34,78436578171.0914
1998,29,5,10,84828807556.0803
1999,4,0,2,90710704806.8416
2000,5,0,4,99838543960.0763
2001,0,0,0,97632008709.85301
2002,0,0,0,87850683978.6691
2003,0,0,0,82924503942.6381
2004,35,34,3,78845185293.4964
2005,124,88,4,89685725230.2517
2006,2,0,2,107484034870.974
2007,0,0,0,130478960092.49901
2008,2,0,2,162818181818.182
2009,1,0,2,188982374700.805
2010,1,0,1,218888324504.75302
2011,31,0,4,236001858960.015
2012,75,0,2,279372758361.832
2013,130,3,45,288586231501.877
2014,249,2,45,305529656458.438
2015,974,230,57,332698041030.807
2016,301,34,32,336296921758.782
