year,total,civilians,events,gdp
1989,4924,98,58,4372215300.0
1990,848,18,45,4800900000.0
1991,88,0,10,5311000000.0
1992,4,0,1,5954700000.0
1993,0,0,0,6938000000.0
1994,0,0,0,8085600000.0
1995,0,0,0,9500500000.0
1996,0,0,0,10315500000.0
1997,0,0,0,11134700000.0
1998,0,0,0,12008400000.0
1999,0,0,0,12464700000.0
2000,0,0,0,13134100000.0
2001,0,0,0,13812700000.0
2002,0,0,0,14306700000.0
2003,0,0,0,15046700000.0
2004,0,0,0,15798300000.0
2005,0,0,0,17093800000.0
2006,0,0,0,18550700000.0
2007,0,0,0,20104900000.0
2008,0,0,0,21430950000.0
2009,0,0,0,20661030000.0
2010,0,0,0,21418330000.0
2011,0,0,0,23139040000.0
2012,0,0,0,23813600000.0
2013,0,0,0,24350930000.0
2014,0,0,0,25054230000.0
2015,0,0,0,26052340000.0
2016,0,0,0,26797470000.0
