year,total,civilians,events,gdp
1989,0,0,0,88265974.5843603
1990,0,0,0,112119406.548331
1991,0,0,0,110906032.075075
1992,0,0,0,134707184.355541
1993,0,0,0,136047896.155778
1994,0,0,0,100807001.813926
1995,0,0,0,141853368.256815
1996,0,0,0,232463036.43575898
1997,0,0,0,442337849.474377
1998,0,0,0,370687618.717326
1999,0,0,0,621117885.668503
2000,0,0,0,1045998496.4387199
2001,0,0,0,1461139022.02954
2002,0,0,0,1806742742.2731102
2003,0,0,0,2484745935.09329
2004,0,0,0,4410764338.66733
2005,0,0,0,8217369092.652241
2006,0,0,0,10086528698.8604
2007,0,0,0,13071718758.7373
2008,0,0,0,19749893536.3204
2009,0,0,0,15027795173.2187
2010,0,0,0,16298542027.9965
2011,0,0,0,21329395900.871002
2012,0,0,0,22389627294.4179
2013,0,0,0,21942597765.3631
2014,0,0,0,21461989483.1265
2015,0,0,0,12162117377.3923
2016,0,0,0,10178967206.0184
