year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,0,0,0,477101651.648376
1993,21,0,1,467872714.755603
1994,0,0,0,531688311.688312
1995,0,0,0,578015625.0
1996,14,0,2,693535954.1900669
1997,31,0,9,686490090.140141
1998,10,1,2,745526154.93283
1999,17203,137,13,688921325.7120429
2000,1793,1,6,706370815.584416
2001,0,0,0,752368495.512622
2002,0,0,0,729321366.6518611
2003,57,0,9,870247703.182758
2004,0,0,0,1109054005.43971
2005,0,0,0,1098425900.74116
2006,0,0,0,1211161879.6748
2007,0,0,0,1317974491.05691
2008,0,0,0,1380188800.0
2009,0,0,0,1856695551.21951
2010,0,0,0,2117039512.1951199
2011,0,0,0,2607739837.39837
2012,0,0,0,0.0
2013,0,0,0,0.0
2014,0,0,0,0.0
2015,0,0,0,0.0
2016,25,0,1,0.0
