year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,0,0,0,0.0
1993,0,0,0,0.0
1994,0,0,0,0.0
1995,0,0,0,4373665145.55468
1996,0,0,0,4746109767.1999
1997,0,0,0,5066240419.29666
1998,0,0,0,5617109244.63233
1999,0,0,0,5726897998.29642
2000,0,0,0,5685774808.80862
2001,0,0,0,6245069734.13302
2002,0,0,0,7322069511.161341
2003,0,0,0,9833870709.12376
2004,0,0,0,12059201242.236
2005,0,0,0,14006088297.4754
2006,0,0,0,16963625015.6818
2007,0,0,0,22237061730.0849
2008,0,0,0,24194039255.8957
2009,0,0,0,19652492636.8436
2010,0,0,0,19490936349.1753
2011,0,0,0,23170239900.7654
2012,0,0,0,23043864510.0543
2013,0,0,0,25081185830.6876
2014,0,0,0,26213940386.7883
2015,0,0,0,22460470490.0133
2016,0,0,0,23136741984.155
