year,total,civilians,events,gdp
1989,25394,1015,72,11476584879.2271
1990,49856,737,110,12175166763.285
1991,12442,212,45,13463868357.4879
1992,1026,0,16,10492993077.6093
1993,133,26,13,8830712713.90781
1994,76,0,5,6927950564.55657
1995,1043,0,9,7663984567.90123
1996,65,0,5,8547939730.62374
1997,12,0,4,8589211390.49612
1998,1005,6,18,7818224905.55071
1999,30786,16,41,7700833482.00615
2000,48666,0,71,8242392103.68061
2001,388,0,52,8231326016.47494
2002,809,35,125,7850809498.16803
2003,1068,511,68,8623691300.04079
2004,475,244,126,10131187261.4421
2005,290,58,90,12401139453.9738
2006,430,20,102,15280861834.6024
2007,500,241,145,19707616772.7996
2008,286,1,82,27066912635.2228
2009,590,7,87,32437389116.038
2010,152,0,98,29933790334.3418
2011,66,1,92,31952763089.33
2012,385,88,90,43310721414.0829
2013,88,11,54,47648211133.2183
2014,39,9,25,55612228233.5179
2015,307,258,97,64464423674.6569
2016,494,416,146,72374252815.3782
