year,total,civilians,events,gdp
1989,0,0,0,1182686577.22645
1990,0,0,0,1337024782.22702
1991,0,0,0,1383843860.1247
1992,0,0,0,1531803060.5455801
1993,0,0,0,1635426125.3080802
1994,0,0,0,1825285158.11762
1995,0,0,0,1970347720.96992
1996,0,0,0,2129266728.42585
1997,0,0,0,2093994597.2154899
1998,0,0,0,1656784779.545
1999,0,0,0,1942170999.18765
2000,0,0,0,1684109743.49338
2001,0,0,0,1660102345.60309
2002,0,0,0,1842691481.0919602
2003,0,0,0,2315935752.71653
2004,0,0,0,2727507212.92556
2005,0,0,0,3006725014.78415
2006,0,0,0,3102741451.0166397
2007,0,0,0,3405050611.68726
2008,0,0,0,3523185919.55826
2009,0,0,0,2870624635.68032
2010,0,0,0,3140508835.9485
2011,0,0,0,3774530615.65916
2012,0,0,0,3972012570.5346704
2013,0,0,0,4190143206.25611
2014,0,0,0,4469810099.08335
2015,0,0,0,4391064780.77249
2016,0,0,0,4631626233.969979
