year,total,civilians,events,gdp
1989,0,0,0,119064708327.56
1990,0,0,0,141517648888.198
1991,0,0,0,127866490222.026
1992,0,0,0,112625431377.754
1993,0,0,0,89255751014.885
1994,0,0,0,103321570859.419
1995,0,0,0,134199346405.229
1996,0,0,0,132099404607.81801
1997,0,0,0,126833123353.56801
1998,0,0,0,133936359590.565
1999,0,0,0,135225868314.511
2000,0,0,0,125539893126.95801
2001,0,0,0,129250111856.82301
2002,0,0,0,139552983248.635
2003,0,0,0,171071106094.808
2004,0,0,0,196768065557.487
2005,0,0,0,204436015420.96802
2006,0,0,0,216552502822.732
2007,0,0,0,255384615384.615
2008,0,0,0,283742493042.332
2009,0,0,0,251499027507.64102
2010,0,0,0,247799815768.477
2011,0,0,0,273674236772.815
2012,0,0,0,256706466091.089
2013,0,0,0,269980111642.898
2014,0,0,0,272609288689.575
2015,0,0,0,232361689855.142
2016,0,0,0,236785046710.87802
