year,total,civilians,events,gdp
1989,0,0,0,1030122352457.33
1990,0,0,0,1275300566196.84
1991,0,0,0,1275563306592.26
1992,0,0,1,1408724907063.2
1993,0,0,0,1330094973361.13
1994,0,0,0,1401636342155.01
1995,8,8,1,1609892232882.11
1996,0,0,1,1614245416078.98
1997,0,0,0,1460709148123.17
1998,0,0,0,1510758283299.98
1999,0,0,0,1500275942893.67
2000,0,0,0,1368438363736.87
2001,0,0,0,1382218344519.02
2002,0,0,0,1500337850555.24
2003,0,0,0,1848124153498.87
2004,0,0,0,2124112242364.04
2005,0,0,0,2203678646934.46
2006,0,0,0,2325011918203.49
2007,2,0,1,2663112510265.54
2008,0,0,0,2923465651091.26
2009,0,0,0,2693827452070.02
2010,0,0,0,2646837111794.78
2011,0,0,0,2862680142625.14
2012,4,4,1,2681416108537.39
2013,0,0,0,2808511203185.39
2014,0,0,0,2849305322684.76
2015,133,130,2,2433562015516.21
2016,87,87,2,2465453975282.24
