year,total,civilians,events,gdp
1989,0,0,0,4186411457.4569
1990,0,0,0,5952293765.84484
1991,0,0,0,5402919956.938311
1992,0,0,0,5592390848.52648
1993,0,0,0,4378645081.01769
1994,0,0,0,4190819314.0295796
1995,0,0,0,4958845906.34769
1996,0,0,0,5694040336.82571
1997,0,0,0,5326816858.99586
1998,0,0,0,4483417119.83928
1999,0,0,0,4662992036.2073
2000,0,0,0,5067865320.7979
2001,0,0,0,5018874179.187039
2002,0,0,0,5310381151.35952
2003,0,0,0,6497305662.09274
2004,0,0,0,7756293574.98077
2005,0,0,0,9458884812.181059
2006,0,0,0,10154041929.6521
2007,0,0,0,12438956756.4455
2008,0,0,0,15508574820.3516
2009,0,0,0,12065138272.7538
2010,0,0,0,14358584300.3006
2011,0,0,0,18186478119.9582
2012,0,0,0,17171447372.3334
2013,0,0,0,17590716232.4913
2014,0,0,0,18179717776.1597
2015,0,0,0,14262032470.9041
2016,0,0,0,14213558130.1817
