year,total,civilians,events,gdp
1989,0,0,0,284119692.49433
1990,0,0,0,317083373.52455896
1991,0,0,0,690314321.374999
1992,0,0,0,714255460.503389
1993,0,0,0,755042548.055824
1994,0,0,0,746491692.583857
1995,0,0,0,785996982.492168
1996,0,0,0,848237108.56163
1997,0,0,0,803630742.53446
1998,0,0,0,840285264.6315451
1999,0,0,0,814723460.08372
2000,0,0,0,782915402.421095
2001,0,0,0,687408804.6305269
2002,0,0,0,578236035.104279
2003,0,0,0,487038821.611959
2004,0,0,0,578785278.7703
2005,0,0,0,624174723.713404
2006,0,0,0,655068695.952711
2007,0,0,0,798870894.208271
2008,0,0,0,965769128.1700039
2009,0,0,0,900639747.9395301
2010,0,0,0,952429030.4155359
2011,0,0,0,904256643.415984
2012,0,0,0,912569686.7859
2013,0,0,0,903779326.2064211
2014,0,0,0,849122624.781348
2015,0,0,0,938794719.3585881
2016,0,0,0,964599177.5354741
