year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,7753501867.76095
1991,52,0,6,6357615894.03974
1992,771,30,94,3690328963.64086
1993,1837,204,113,2701181331.3081603
1994,0,0,0,2513870586.73344
1995,52,52,3,2693731865.9703603
1996,0,0,0,3094915505.9093
1997,26,0,5,3510540809.24855
1998,38,20,3,3613500117.2492795
1999,0,0,0,2800024313.95144
2000,0,0,0,3057453482.55826
2001,0,0,0,3219487824.8791103
2002,0,0,2,3395778673.79183
2003,0,0,0,3991374548.5051203
2004,27,3,13,5125273880.74998
2005,0,0,0,6410941012.591889
2006,0,0,0,7745406200.853741
2007,0,0,0,10172869679.7366
2008,621,200,12,12795044472.7663
2009,0,0,0,10766809099.0721
2010,3,0,4,11638536834.4274
2011,0,0,1,14434619982.2117
2012,0,0,0,15846474595.773
2013,0,0,0,16140047012.1438
2014,0,0,0,16509305827.7171
2015,0,0,0,13993546732.4726
2016,0,0,0,14332880086.196001
