year,total,civilians,events,gdp
1989,3,1,2,1393674332154.37
1990,1,0,1,1764967948916.6
1991,0,0,0,1861873895109.02
1992,4,1,1,2123130870381.97
1993,0,0,0,2068555542410.98
1994,0,0,0,2205966011811.5
1995,0,0,0,2591620035485.19
1996,0,0,0,2503665193657.4
1997,0,0,0,2218689375140.99
1998,0,0,0,2243225519617.65
1999,0,0,0,2199957383336.88
2000,0,0,0,1949953934033.54
2001,0,0,0,1950648769574.94
2002,0,0,0,2079136081309.99
2003,0,0,0,2505733634311.51
2004,0,0,0,2819245095604.67
2005,0,0,0,2861410272354.18
2006,0,0,0,3002446368084.31
2007,0,0,0,3439953462907.2
2008,0,0,0,3752365607148.09
2009,0,0,0,3418005001389.27
2010,0,0,0,3417094562648.95
2011,0,0,0,3757698281117.55
2012,0,0,0,3543983909148.01
2013,0,0,0,3752513503278.41
2014,0,0,0,3879276587198.91
2015,0,0,0,3363599907529.78
2016,12,12,1,3466756880460.62
