year,total,civilians,events,gdp
1989,0,0,0,5251764269.91812
1990,0,0,0,5889174833.90034
1991,30,0,2,6596546195.65217
1992,63,0,2,6413901601.83066
1993,2,0,1,5966255778.12018
1994,2004,0,9,5444560669.45607
1995,155,0,8,6465137614.6789
1996,0,0,0,6934984709.480121
1997,0,0,0,6891308593.75
1998,0,0,0,7480968858.131491
1999,0,0,0,7719354838.70968
2000,30,0,1,4983024408.14828
2001,50,0,1,5314909953.92992
2002,36,0,1,6166330136.2948
2003,0,0,0,7632406552.83803
2004,0,0,0,8881368538.07671
2005,0,0,0,10731634116.7384
2006,0,0,0,20409257610.4746
2007,0,0,0,24758819717.7074
2008,55,9,10,28526891010.4925
2009,8,0,2,25977847813.7422
2010,1,0,1,32174772955.9748
2011,0,0,0,39566292432.8615
2012,0,0,0,41939728978.7281
2013,0,0,0,47805069494.9082
2014,0,0,0,38616536131.647995
2015,0,0,0,37543361203.5609
2016,0,0,0,42689783733.873
