year,total,civilians,events,gdp
1989,0,0,0,79169043642.4675
1990,0,0,0,97891090928.6328
1991,0,0,0,105143232379.884
1992,0,0,0,116224673042.54599
1993,0,0,0,108809058858.502
1994,0,0,0,116601802106.74199
1995,0,0,0,136878366230.328
1996,0,0,0,145861612825.595
1997,0,0,0,143157600024.959
1998,0,0,0,144428172835.236
1999,0,0,0,142540728958.023
2000,0,0,0,130133845771.144
2001,0,0,0,136191353467.562
2002,0,0,0,153830947016.751
2003,0,0,0,201924270316.02698
2004,0,0,0,240521260988.32898
2005,0,0,0,247783001865.44
2006,0,0,0,273317737046.795
2007,0,0,0,318497936901.177
2008,0,0,0,354460802548.704
2009,0,0,0,330000252153.37604
2010,0,0,0,299361576558.217
2011,0,0,0,287797822093.178
2012,0,0,0,245670666639.047
2013,0,0,0,239862011450.103
2014,0,0,0,236079774688.445
2015,0,0,0,194860187692.45102
2016,0,0,0,194558651275.83603
