year,total,civilians,events,gdp
1989,0,0,0,929796722.3878961
1990,0,0,0,1018970364.8644301
1991,0,0,0,1016493394.8253
1992,0,0,0,1037921836.9477
1993,0,0,0,927219728.8668859
1994,0,0,0,1005879948.43254
1995,0,0,0,1208946165.92889
1996,0,0,0,1197509786.6763198
1997,0,0,0,1072147778.03013
1998,0,0,0,1149862702.96084
1999,0,0,0,1131561595.13775
2000,0,0,0,1068030829.7559099
2001,0,0,0,1086172922.57413
2002,0,0,0,1169138789.31435
2003,0,0,0,1407866174.84099
2004,0,0,0,1621822369.84861
2005,0,0,0,1656172355.71712
2006,0,0,0,1818759669.0657198
2007,0,0,0,2049139372.11823
2008,0,0,0,2310743218.0616302
2009,0,0,0,2324870823.92882
2010,0,0,0,2306502373.71313
2011,0,0,0,2515245776.44495
2012,0,0,0,2408666378.93828
2013,0,0,0,2483396542.2075
2014,0,0,0,2551126948.77506
2015,0,0,0,2220380802.33059
2016,0,0,0,0.0
